species,sample_size,Rare10,Integer
Amegilla albigena,13,6.9995,7
Amegilla magnilabris,12,5.812,6
Andrena aeneiventris,18,1.9995,2
Andrena aerinifrons,25,2.4,2
Andrena afzeliella,30,11.16,11
Andrena agilissima,20,5.9543,6
Andrena albopunctata,15,8.5844,9
Andrena alfkenella,31,12.014,12
Andrena ampla,21,4,4
Andrena angustior,26,20.543,21
Andrena anthrisci,22,9.131,9
Andrena antigana,25,5,5
Andrena apicata,19,1.7769,2
Andrena argentata,11,4.9162,5
Andrena asperrima,56,7.3137,7
Andrena assimilis,15,11.122,11
Andrena barbilabris,93,15.405,15
Andrena bicolor,78,30.011,30
Andrena bimaculata,40,18.178,18
Andrena biskrensis,15,5.9859,6
Andrena blanda,27,1,1
Andrena boyerella,24,1,1
Andrena caesia,18,6.5585,7
Andrena chrysosceles,48,16.962,17
Andrena cineraria,25,19.444,19
Andrena cinerea,22,2.4565,2
Andrena clarkella,24,1,1
Andrena corax,10,1,1
Andrena decipiens,11,3,3
Andrena denticulata,23,7.8707,8
Andrena discors,16,12.691,13
Andrena djelfensis,20,2.9998,3
Andrena dorsata,78,26.304,26
Andrena doursana,10,2,2
Andrena elata,13,1,1
Andrena fabrella,22,2,2
Andrena ferrugineicrus,28,4.9458,5
Andrena flavipes,603,31.061,31
Andrena fucata,24,14.196,14
Andrena fulica,12,3.8333,4
Andrena fulva,86,9.4437,9
Andrena fulvicornis,16,6.9999,7
Andrena funerea,12,2.8333,3
Andrena fuscosa,18,10.108,10
Andrena gravida,20,17.643,18
Andrena haemorrhoa,105,20.974,21
Andrena hedikae,22,2.9999,3
Andrena helvola,12,14.469,14
Andrena juliana,35,4.9944,5
Andrena labialis,39,17.308,17
Andrena labiata,29,21.929,22
Andrena lagopus,13,2,2
Andrena leptopyga,19,3.9973,4
Andrena leucolippa,22,1,1
Andrena longibarbis,13,3.9999,4
Andrena mediovittata,10,7,7
Andrena melittoides,12,9.788,10
Andrena minutula,111,20.834,21
Andrena minutuloides,64,11.998,12
Andrena mucida,14,3.7127,4
Andrena nana,51,9.0992,9
Andrena nigriceps,17,14.564,15
Andrena nigroaenea,43,24.321,24
Andrena nigropilosa,23,2,2
Andrena nitida,99,21.702,22
Andrena nitidula,39,3.9638,4
Andrena niveata,11,4.9091,5
Andrena numida,14,4,4
Andrena orana,17,3,3
Andrena ovatula,27,12.642,13
Andrena oviventris,28,2.1884,2
Andrena pandosa,21,1,1
Andrena panurgina,11,4.9819,5
Andrena pauxilla,11,3.9925,4
Andrena pilipes,31,10.481,10
Andrena praecox,21,1.7268,2
Andrena propinqua,43,16.046,16
Andrena ranunculorum,17,6.0996,6
Andrena scotica,63,18.407,18
Andrena semilaevis,98,9.4557,9
Andrena senecionis,21,2.9999,3
Andrena spolata,20,2,2
Andrena spreta,19,7.3321,7
Andrena subopaca,17,12.08,12
Andrena synadelpha,16,14.968,15
Andrena tebessana,10,1,1
Andrena tenuistriata,40,3.9202,4
Andrena thoracica,72,22.238,22
Andrena tinctoria,14,2,2
Andrena trimmerana,21,8.3924,8
Andrena tuberculifera,15,6.7526,7
Andrena variabilis,25,10.858,11
Andrena varians,101,7.0201,7
Andrena vaulogeri,10,8,8
Andrena venerabilis,11,2,2
Andrena ventricosa,40,5.0781,5
Andrena verticalis,30,5.6762,6
Andrena vetula,31,3,3
Andrena wilkella,52,11.683,12
Anthophora aestivalis,11,11.694,12
Anthophora atroalba,22,17.552,18
Anthophora bimaculata,11,5.9951,6
Bombus alagesianus,29,10.916,11
Bombus alpinus,12,7.9618,8
Bombus argillaceus,96,23.97,24
Bombus armeniacus,57,17.604,18
Bombus balteatus,18,16.048,16
Bombus bisiculus,62,10.933,11
Bombus brodmannicus,30,7.9157,8
Bombus confusus,36,13.921,14
Bombus cullumanus,20,14.988,15
Bombus distinguendus,47,10.949,11
Bombus fragrans,30,10.625,11
Bombus frigidus,19,8.2203,8
Bombus haematurus,15,13.355,13
Bombus handlirschianus,41,11.138,11
Bombus hypnorum,39,19.422,19
Bombus incertus,57,17.455,17
Bombus lapponicus,50,10.848,11
Bombus lucorum,19,12.35,12
Bombus melanurus,23,14.355,14
Bombus mendax,30,11.183,11
Bombus mesomelas,83,20.568,21
Bombus monticola,26,13.952,14
Bombus muscorum,53,14.992,15
Bombus niveatus,67,14.911,15
Bombus pascuorum,13,14.538,15
Bombus pomorum,105,18.98,19
Bombus portschinskyi,25,12.22,12
Bombus pyrenaeus,24,12.275,12
Bombus ruderarius,77,19.603,20
Bombus ruderatus,36,15.203,15
Bombus sichelii,65,13.647,14
Bombus soroeensis,104,17.896,18
Bombus sporadicus,12,6.99,7
Bombus subterraneus,135,15.752,16
Bombus sylvarum,112,22.728,23
Bombus terrestris,13,7.7002,8
Bombus veteranus,50,14.389,14
Bombus wurflenii,68,10.259,10
Bombus zonatus,47,15.271,15
Camptopoeum friesei,14,1,1
Camptopoeum frontale,11,2,2
Camptopoeum sacrum,12,1,1
Colletes dinizi,13,1,1
Eucera alternans,10,11,11
Eucera caspica,11,6.9925,7
Eucera cinctella,10,1,1
Eucera clypeata,36,13.738,14
Eucera decolorata,12,13.445,13
Eucera dentata,17,2,2
Eucera elongatula,42,14.517,15
Eucera eucnemidea,17,6.59,7
Eucera furfurea,10,1,1
Eucera iberica,10,1,1
Eucera interrupta,22,7.8336,8
Eucera julliani,18,2,2
Eucera longicornis,21,10.412,10
Eucera nana,10,1,1
Eucera nigrescens,28,8.3177,8
Eucera nigrifacies,10,4,4
Eucera nigrilabris,18,8.3831,8
Eucera notata,34,8.5848,9
Eucera taurica,18,2.5525,3
Flavipanurgus kastiliensis,13,1,1
Halictus crenicornis,11,13.818,14
Halictus maculatus,13,11.305,11
Halictus pollinosus,10,7,7
Halictus quadricinctus,25,11.546,12
Halictus scabiosae,33,13.236,13
Halictus subauratus,21,18.798,19
Halictus tumulorum,26,21.263,21
Lasioglossum albipes,12,14.818,15
Lasioglossum bimaculatum,15,5.6197,6
Lasioglossum brevicorne,11,2,2
Lasioglossum calceatum,43,23.194,23
Lasioglossum corvinum,12,3.8403,4
Lasioglossum discum,26,7.5592,8
Lasioglossum fulvicorne,19,13.267,13
Lasioglossum immunitum,18,9.9391,10
Lasioglossum interruptum,26,15.209,15
Lasioglossum laevigatum,18,18.065,18
Lasioglossum laticeps,18,17.278,17
Lasioglossum lativentre,26,6.5306,7
Lasioglossum leucopus,12,11.441,11
Lasioglossum leucozonium,26,7.2753,7
Lasioglossum malachurum,437,21.067,21
Lasioglossum mediterraneum,19,18.115,18
Lasioglossum morio,29,24.405,24
Lasioglossum nigripes,18,10.602,11
Lasioglossum parvulum,15,13.099,13
Lasioglossum pauperatum,11,10.892,11
Lasioglossum pauxillum,74,18.913,19
Lasioglossum prasinum,15,4.6711,5
Lasioglossum punctatissimum,11,8.9001,9
Lasioglossum puncticolle,17,10.664,11
Lasioglossum villosulum,46,7.036,7
Lasioglossum xanthopus,25,15.054,15
Lasioglossum zonulum,15,15.335,15
Megachile maritima,14,10.378,10
Megachile pilidens,16,10.818,11
Nomiapis diversipes,19,16.366,16
Nomiapis paulyi,10,13.97,14
Panurginus albopilosus,10,1,1
Panurgus calceatus,10,4,4
Panurgus canescens,12,2,2
Panurgus cephalotes,28,5.3174,5
Panurgus maroccanus,14,3.9982,4
Panurgus perezi,23,1,1