bee_species,bee_genus,bee_family,eoo_size_m2,count_in_Dorey,diet_families_rareCount,diet_genera_rareCount,diet_binary
Hylaeus rinki,Hylaeus,Colletidae,5873863579257,1560,4.578768,NA,Generalist
Anthophora aestivalis,Anthophora,Apidae,12425961600921,1567,5.992457,11.694,Generalist
Osmia brevis,Osmia,Megachilidae,7668975936698,1604,1,NA,Specialist
Andrena coitana,Andrena,Andrenidae,10334396187539,1636,11.16181,NA,Generalist
Colletes thoracicus,Colletes,Colletidae,4308574418427,1642,6.999806,NA,Generalist
Osmia ribifloris,Osmia,Megachilidae,5969074035131,1657,7.454564,NA,Generalist
Hylaeus incongruus,Hylaeus,Colletidae,13711983104649,1665,11.558189,NA,Generalist
Andrena erythrogaster,Andrena,Andrenidae,11716883432472,1672,1.998422,NA,Generalist
Lasioglossum laevissimum,Lasioglossum,Halictidae,16300220281539,1684,7.99972,NA,Generalist
Hylaeus pectoralis,Hylaeus,Colletidae,28116527337648,1707,9.127059,NA,Generalist
Megachile alpicola,Megachile,Megachilidae,6380469143591,1709,12.763536,NA,Generalist
Osmia montana,Osmia,Megachilidae,7398315125903,1726,1,NA,Specialist
Lasioglossum lineatulum,Lasioglossum,Halictidae,9461253862633,1731,11.752153,NA,Generalist
Osmia parietina,Osmia,Megachilidae,44027977416717,1735,3.91467,NA,Generalist
Hylaeus leptocephalus,Hylaeus,Colletidae,35434877452214,1762,7.879999,NA,Generalist
Anthophora bimaculata,Anthophora,Apidae,20527338957130,1780,3.999977,5.9951,Generalist
Osmia californica,Osmia,Megachilidae,4076994415989,1806,1,NA,Specialist
Andrena w-scripta,Andrena,Andrenidae,22543061664428,1832,5.979048,NA,Generalist
Hylaeus gredleri,Hylaeus,Colletidae,11479916159307,1852,3.203516,NA,Generalist
Hoplitis pilosifrons,Hoplitis,Megachilidae,17246601587846,1853,2,NA,Generalist
Megachile maritima,Megachile,Megachilidae,39488599589167,1869,4.714286,NA,Generalist
Andrena argentata,Andrena,Andrenidae,8018262195237,1925,7.591083,4.9162,Generalist
Andrena rosae,Andrena,Andrenidae,40759322105920,1932,3.970061,NA,Generalist
Colletes simulans,Colletes,Colletidae,16604808935702,1938,1,NA,Specialist
Bombus mesomelas,Bombus,Apidae,4753314779189,1943,8.693318,20.568,Generalist
Andrena rugosa,Andrena,Andrenidae,4989083268498,1962,11.040361,NA,Generalist
Andrena hippotes,Andrena,Andrenidae,14624400228482,1994,7.259373,NA,Generalist
Osmia bucephala,Osmia,Megachilidae,28538445038937,2019,5.41844,NA,Generalist
Osmia cornifrons,Osmia,Megachilidae,28109394956122,2057,8.702107,NA,Generalist
Osmia atriventris,Osmia,Megachilidae,12795980370726,2094,4.975404,NA,Generalist
Lasioglossum glabriusculum,Lasioglossum,Halictidae,4325027887237,2103,9.9748,NA,Generalist
Hylaeus angustatus,Hylaeus,Colletidae,12923333932449,2130,12.662449,NA,Generalist
Diadasia enavata,Diadasia,Apidae,8604125378815,2151,1,NA,Specialist
Andrena hirticincta,Andrena,Andrenidae,9176250544358,2310,1,NA,Specialist
Andrena forbesii,Andrena,Andrenidae,15200710920392,2327,10.378846,NA,Generalist
Anthidium florentinum,Anthidium,Megachilidae,41510662339040,2432,9.152594,NA,Generalist
Andrena lathyri,Andrena,Andrenidae,5856428133522,2505,1,NA,Specialist
Dufourea dentiventris,Dufourea,Halictidae,5934138371765,2573,1,NA,Specialist
Bombus sporadicus,Bombus,Apidae,61597805811865,2576,5.990749,6.99,Generalist
Lasioglossum parvulum,Lasioglossum,Halictidae,5509256235199,2579,11.20786,13.099,Generalist
Hylaeus dilatatus,Hylaeus,Colletidae,10651267824641,2585,10.777477,NA,Generalist
Lasioglossum quebecense,Lasioglossum,Halictidae,30832831554514,2591,8.997674,NA,Generalist
Melissodes desponsus,Melissodes,Apidae,10426147399682,2673,1,NA,Specialist
Osmia taurus,Osmia,Megachilidae,28626444262630,2773,7.996445,NA,Generalist
Eulaema nigrita,Eulaema,Apidae,12479736551187,2812,5.776705,NA,Generalist
Hylaeus nigritus,Hylaeus,Colletidae,13940951744813,2816,3.693674,NA,Generalist
Lasioglossum lativentre,Lasioglossum,Halictidae,10581644098091,2824,4.689348,6.5306,Generalist
Colletes similis,Colletes,Colletidae,22376889473096,2830,3.822413,NA,Generalist
Lasioglossum laevigatum,Lasioglossum,Halictidae,6613659786533,2872,12.433152,18.065,Generalist
Bombus sichelii,Bombus,Apidae,49688659591615,2960,9.346998,13.647,Generalist
Megachile latimanus,Megachile,Megachilidae,27472774401779,3021,4.233578,NA,Generalist
Halictus maculatus,Halictus,Halictidae,17399740904665,3022,6.538461,11.305,Generalist
Osmia spinulosa,Osmia,Megachilidae,18553544695761,3062,1.887417,NA,Generalist
Heriades carinata,Heriades,Megachilidae,15503682267282,3092,4,NA,Generalist
Andrena labiata,Andrena,Andrenidae,15483030332191,3134,9.497016,21.929,Generalist
Halictus subauratus,Halictus,Halictidae,19195261076370,3242,10.810144,18.798,Generalist
Andrena ruficrus,Andrena,Andrenidae,43569778818019,3244,1,NA,Specialist
Agapostemon sericeus,Agapostemon,Halictidae,11680770531734,3271,6.931812,NA,Generalist
Anthidiellum strigatum,Anthidiellum,Megachilidae,27657627164697,3320,10.82089,NA,Generalist
Panurgus banksianus,Panurgus,Andrenidae,6178682996049,3364,1,NA,Specialist
Diadasia ochracea,Diadasia,Apidae,4632534498013,3421,1,NA,Specialist
Andrena semilaevis,Andrena,Andrenidae,14243100856729,3436,4.02128,9.4557,Generalist
Colletes succinctus,Colletes,Colletidae,9091575108556,3487,3.62499,NA,Generalist
Eucera nigrescens,Eucera,Apidae,7837259707323,3543,2.497512,8.3177,Generalist
Hylaeus signatus,Hylaeus,Colletidae,18633122883257,3561,1,NA,Specialist
Euglossa cordata,Euglossa,Apidae,12934927758378,3635,8.376538,NA,Generalist
Hoplitis adunca,Hoplitis,Megachilidae,9551806064427,3673,1,NA,Specialist
Andrena perplexa,Andrena,Andrenidae,10170543453009,3674,12,NA,Generalist
Andrena minutuloides,Andrena,Andrenidae,11268131494757,3697,5.074918,11.998,Generalist
Bombus ruderatus,Bombus,Apidae,87811006186606,3754,9.356024,15.203,Generalist
Andrena imitatrix,Andrena,Andrenidae,12607386118248,3838,5.631012,NA,Generalist
Anthophora quadrimaculata,Anthophora,Apidae,15090970190689,3870,3.999885,NA,Generalist
Andrena ventralis,Andrena,Andrenidae,31610546661826,3881,1,NA,Specialist
Ceratina mikmaqi,Ceratina,Apidae,4822625015882,4024,7.716582,NA,Generalist
Lasioglossum pectorale,Lasioglossum,Halictidae,9093213167850,4048,10.141116,NA,Generalist
Bombus balteatus,Bombus,Apidae,174339507748236,4118,8.383321,16.048,Generalist
Melitta nigricans,Melitta,Melittidae,9188174041663,4163,1,NA,Specialist
Bombus distinguendus,Bombus,Apidae,94166530737543,4387,7.046843,10.949,Generalist
Andrena cressonii,Andrena,Andrenidae,13621701285587,4396,8.611134,NA,Generalist
Bombus veteranus,Bombus,Apidae,35128439871472,4414,8.677551,14.389,Generalist
Andrena trimmerana,Andrena,Andrenidae,16586302846910,4424,6.397289,8.3924,Generalist
Andrena gravida,Andrena,Andrenidae,6460026050339,4447,10.310325,17.643,Generalist
Peponapis pruinosa,Peponapis,Apidae,14113834601017,4477,1,NA,Specialist
Lasioglossum punctatissimum,Lasioglossum,Halictidae,11090460528137,4525,5.900901,8.9001,Generalist
Bombus lapponicus,Bombus,Apidae,77336319549046,4556,6.268865,10.848,Generalist
Andrena fuscipes,Andrena,Andrenidae,9184460021195,4629,1,NA,Specialist
Ptilothrix bombiformis,Ptilothrix,Apidae,4623740559760,4658,1,NA,Specialist
Lasioglossum coriaceum,Lasioglossum,Halictidae,10164600318019,4670,8.277221,NA,Generalist
Andrena vicina,Andrena,Andrenidae,17904297002485,4780,10.877094,NA,Generalist
Melitta leporina,Melitta,Melittidae,30977139352969,4925,1,NA,Specialist
Bombus subterraneus,Bombus,Apidae,77450751174837,4994,6.825874,15.752,Generalist
Megachile rotundata,Megachile,Megachilidae,148567967474492,5248,2.871871,NA,Generalist
Colletes inaequalis,Colletes,Colletidae,14927837279621,5291,4.857999,NA,Generalist
Diadasia diminuta,Diadasia,Apidae,10298055441774,5369,3.962704,NA,Generalist
Trachusa byssina,Trachusa,Megachilidae,26928053229499,5427,2.867136,NA,Generalist
Anthophora furcata,Anthophora,Apidae,36202854485224,5467,2.933471,NA,Generalist
Anthidium punctatum,Anthidium,Megachilidae,31732663686141,5478,5.764651,NA,Generalist
Andrena ovatula,Andrena,Andrenidae,10175279587292,5559,1.37037,12.642,Generalist
Andrena fucata,Andrena,Andrenidae,39942303964545,5725,13.177618,14.196,Generalist
Andrena lapponica,Andrena,Andrenidae,30841786184823,5756,9.847643,NA,Generalist
Andrena chrysosceles,Andrena,Andrenidae,11574793439335,5768,8.157459,16.962,Generalist
Osmia pumila,Osmia,Megachilidae,6159886784854,5810,7.465552,NA,Generalist
Melitta haemorrhoidalis,Melitta,Melittidae,10472629871067,5879,1,NA,Specialist
Megachile mendica,Megachile,Megachilidae,14815919532211,5989,3,NA,Generalist
Anthidium oblongatum,Anthidium,Megachilidae,32958942407000,6030,6.349038,NA,Generalist
Osmia aurulenta,Osmia,Megachilidae,9599853623956,6059,2,NA,Generalist
Hylaeus brevicornis,Hylaeus,Colletidae,20230998258347,6101,5.626674,NA,Generalist
Andrena nasonii,Andrena,Andrenidae,12003348193674,6265,9.262201,NA,Generalist
Andrena denticulata,Andrena,Andrenidae,39606382374652,6460,2.116385,7.8707,Generalist
Andrena crataegi,Andrena,Andrenidae,16358767572410,6493,8.461309,NA,Generalist
Ceratina dupla,Ceratina,Apidae,9106437276563,6687,9.888864,NA,Generalist
Bombus monticola,Bombus,Apidae,13208882295876,6780,8.502932,13.952,Generalist
Andrena praecox,Andrena,Andrenidae,19918033348320,6872,1.726817,1.7268,Generalist
Andrena miserabilis,Andrena,Andrenidae,17713802301797,6980,3.963108,NA,Generalist
Bombus borealis,Bombus,Apidae,28998656976524,7043,9.733432,NA,Generalist
Andrena helvola,Andrena,Andrenidae,24250074623285,7119,10.635905,14.469,Generalist
Lasioglossum hitchensi,Lasioglossum,Halictidae,5904802787786,7152,11.382839,NA,Generalist
Megachile centuncularis,Megachile,Megachilidae,39555452110774,7242,11.064951,NA,Generalist
Osmia caerulescens,Osmia,Megachilidae,119944980878859,7307,2,NA,Generalist
Bombus frigidus,Bombus,Apidae,48766979715579,7393,7.691232,8.2203,Generalist
Eucera longicornis,Eucera,Apidae,27860858083893,7664,2.58302,10.412,Generalist
Bombus wurflenii,Bombus,Apidae,16529880534780,7767,8.563689,10.259,Generalist
Andrena scotica,Andrena,Andrenidae,7933577181883,7856,11.373205,18.407,Generalist
Lasioglossum cressonii,Lasioglossum,Halictidae,14987256259695,7897,13.038219,NA,Generalist
Panurgus calcaratus,Panurgus,Andrenidae,22152855275238,7941,1,NA,Specialist
Andrena dorsata,Andrena,Andrenidae,13787807360762,7997,12.858989,26.304,Generalist
Colletes kincaidii,Colletes,Colletidae,42669698929301,8155,5,NA,Generalist
Chelostoma campanularum,Chelostoma,Megachilidae,24224277500058,8203,1,NA,Specialist
Bombus muscorum,Bombus,Apidae,64557722697919,8574,8.014283,14.992,Generalist
Chelostoma florisomne,Chelostoma,Megachilidae,13041069667240,8958,1,NA,Specialist
Chelostoma rapunculi,Chelostoma,Megachilidae,41933098120484,9111,1,NA,Specialist
Bombus auricomus,Bombus,Apidae,16928618916988,9416,5.79703,NA,Generalist
Lasioglossum imitatum,Lasioglossum,Halictidae,11846887516709,9535,9.6741,NA,Generalist
Andrena carlini,Andrena,Andrenidae,12266152595799,9710,12.737994,NA,Generalist
Bombus affinis,Bombus,Apidae,12056139897077,10076,12.757107,NA,Generalist
Andrena nitida,Andrena,Andrenidae,24789645745706,10312,13.18719,21.702,Generalist
Andrena barbilabris,Andrena,Andrenidae,66923846771721,10343,8.391719,15.405,Generalist
Colletes daviesanus,Colletes,Colletidae,43102578659708,10506,1,NA,Specialist
Andrena subopaca,Andrena,Andrenidae,41801302550927,10572,7.05083,12.08,Generalist
Bombus ruderarius,Bombus,Apidae,31777347640840,10604,10.510964,19.603,Generalist
Hylaeus hyalinatus,Hylaeus,Colletidae,16276747098953,10659,14.32135,NA,Generalist
Osmia lignaria,Osmia,Megachilidae,17963553998667,11039,7.778255,NA,Generalist
Lasioglossum malachurum,Lasioglossum,Halictidae,17643848147288,11314,10.512934,21.067,Generalist
Lasioglossum villosulum,Lasioglossum,Halictidae,55213766213178,11330,1.521542,7.036,Generalist
Andrena nigroaenea,Andrena,Andrenidae,21859037856744,11711,11.873199,24.321,Generalist
Lasioglossum zonulum,Lasioglossum,Halictidae,35242655683090,11750,9.817409,15.335,Generalist
Lasioglossum versatum,Lasioglossum,Halictidae,8073335906118,11759,12.559941,NA,Generalist
Andrena wilkella,Andrena,Andrenidae,28272299018489,12103,3.355922,11.683,Generalist
Lasioglossum pilosum,Lasioglossum,Halictidae,12600084540071,12431,12.677564,NA,Generalist
Andrena clarkella,Andrena,Andrenidae,75854003954088,12607,1,1,Specialist
Colletes hederae,Colletes,Colletidae,6522043511997,12815,4.780439,NA,Generalist
Lasioglossum laticeps,Lasioglossum,Halictidae,11025648636431,13131,15.158611,17.278,Generalist
Andrena minutula,Andrena,Andrenidae,44414351445768,13154,11.287139,20.834,Generalist
Lasioglossum fulvicorne,Lasioglossum,Halictidae,22056919201700,13225,8.195766,13.267,Generalist
Hylaeus confusus,Hylaeus,Colletidae,41430102936769,13406,6.852367,NA,Generalist
Bombus perplexus,Bombus,Apidae,36194242705966,13468,13.657537,NA,Generalist
Lasioglossum pauxillum,Lasioglossum,Halictidae,11252892930055,13733,9.426275,18.913,Generalist
Ceratina calcarata,Ceratina,Apidae,9543188778048,14476,9.100156,NA,Generalist
Halictus scabiosae,Halictus,Halictidae,10465687163977,14952,4.11294,13.236,Generalist
Halictus confusus,Halictus,Halictidae,36642830443612,15111,12.823909,NA,Generalist
Bombus sylvarum,Bombus,Apidae,49151568164626,16198,9.528455,22.728,Generalist
Lasioglossum leucopus,Lasioglossum,Halictidae,16310542495205,16272,6.652891,11.441,Generalist
Colletes cunicularius,Colletes,Colletidae,31551757131322,16416,9.039784,NA,Generalist
Lasioglossum albipes,Lasioglossum,Halictidae,11653643547744,16432,7.995485,14.818,Generalist
Lasioglossum leucozonium,Lasioglossum,Halictidae,66993942601768,17030,5.087538,7.2753,Generalist
Andrena bicolor,Andrena,Andrenidae,31726741303691,17616,18.110335,30.011,Generalist
Augochlora pura,Augochlora,Halictidae,12227321754337,18202,10.820338,NA,Generalist
Bombus humilis,Bombus,Apidae,47523398535635,18231,9.471005,NA,Generalist
Bombus rufocinctus,Bombus,Apidae,34868542649579,18411,13.087611,NA,Generalist
Bombus soroeensis,Bombus,Apidae,55115355154115,19049,12.088426,17.896,Generalist
Hylaeus communis,Hylaeus,Colletidae,21413602758505,20312,14.118476,NA,Generalist
Andrena cineraria,Andrena,Andrenidae,39807613942863,20613,12.679539,19.444,Generalist
Bombus terricola,Bombus,Apidae,35654699740824,21825,13.327641,NA,Generalist
Bombus fervidus,Bombus,Apidae,26881678216118,22730,9.405945,NA,Generalist
Bombus vagans,Bombus,Apidae,24777558205919,22807,9.757004,NA,Generalist
Dasypoda hirtipes,Dasypoda,Melittidae,39093838274370,22997,1.576585,NA,Generalist
Agapostemon virescens,Agapostemon,Halictidae,19353479959340,23574,4.826446,NA,Generalist
Anthidium manicatum,Anthidium,Megachilidae,150868679995664,24930,4.794862,NA,Generalist
Andrena fulva,Andrena,Andrenidae,7925040387319,26483,6.643529,9.4437,Generalist
Halictus tumulorum,Halictus,Halictidae,48740774592342,26505,13.113593,21.263,Generalist
Andrena vaga,Andrena,Andrenidae,30187593776473,26832,1,NA,Specialist
Bombus ternarius,Bombus,Apidae,35384352230436,27150,11.562389,NA,Generalist
Andrena flavipes,Andrena,Andrenidae,28318808488056,27309,13.108437,31.061,Generalist
Anthophora plumipes,Anthophora,Apidae,60330514331585,27373,7.728844,NA,Generalist
Halictus rubicundus,Halictus,Halictidae,100874580987098,28745,13.221802,NA,Generalist
Osmia cornuta,Osmia,Megachilidae,12828503421310,29693,8.559766,NA,Generalist
Lasioglossum morio,Lasioglossum,Halictidae,21494792331827,30501,16.763503,24.405,Generalist
Lasioglossum calceatum,Lasioglossum,Halictidae,43079149959610,31796,14.296803,23.194,Generalist
Augochlorella aurata,Augochlorella,Halictidae,16191472276038,37260,12.81581,NA,Generalist
Bombus bimaculatus,Bombus,Apidae,14506558493211,42308,15.56828,NA,Generalist
Andrena haemorrhoa,Andrena,Andrenidae,51683099924643,44023,12.245116,20.974,Generalist
Halictus ligatus,Halictus,Halictidae,20097571788192,44196,2.760929,NA,Generalist
Osmia bicornis,Osmia,Megachilidae,36359912255141,45020,15.008247,NA,Generalist
Bombus pensylvanicus,Bombus,Apidae,17902865057539,48277,5.786411,NA,Generalist
Xylocopa virginica,Xylocopa,Apidae,33866791828875,51392,7.942681,NA,Generalist
Bombus hortorum,Bombus,Apidae,104148526431609,59875,11.650676,NA,Generalist
Bombus griseocollis,Bombus,Apidae,18940273082789,61793,15.365761,NA,Generalist
Bombus lucorum,Bombus,Apidae,74281489433796,87064,9.198417,12.35,Generalist
Bombus pratorum,Bombus,Apidae,36791566414866,113144,20.230205,NA,Generalist
Bombus impatiens,Bombus,Apidae,20683646887287,143207,16.549761,NA,Generalist
Bombus lapidarius,Bombus,Apidae,55849443943210,166823,13.152486,NA,Generalist
Bombus hypnorum,Bombus,Apidae,219390503984377,169601,14.478694,19.422,Generalist
Bombus terrestris,Bombus,Apidae,140453031578357,190780,18.906939,7.7002,Generalist
Bombus pascuorum,Bombus,Apidae,75534113450248,307511,15.327851,14.538,Generalist
